SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000177471381166:637000177471381166::
SwitchOff:Tower:Tower SW:Complete:RpiZero7:637000178708385671:637000178708385671::
SwitchOff:Tower:Tower NW:Complete:RpiZero10:637000178733218317:637000178733218317::
SwitchOff:Concessions:Concessions Entrance:Complete:RpiZero11:637000178747275576:637000178747275576::
SwitchOn:Concessions:Concessions Front:Complete:RpiZero5:637000179758752155:637000179758752155::
SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000179884712346:637000179884712346::
SwitchOn:FrontGate:Gate Shack:Complete:RpiZero4:637000180137485532:637000180137485532::
SwitchOff:FrontGate:Gate Shack:Complete:RpiZero4:637000180192044464:637000180192044464::
SwitchOff:Tower:Tower SW:Complete:RpiZero7:637000183207274101:637000183207274101::
SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000183208417482:637000183208417482::
SwitchOff:Tower:Tower NW:Complete:RpiZero10:637000183211443595:637000183211443595::
SwitchOff:Concessions:Concessions Entrance:Complete:RpiZero11:637000183217064584:637000183217064584::
SwitchOff:Tower:Tower SW:Complete:RpiZero7:637000184186557995:637000184186557995::
SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000184188786175:637000184188786175::
SwitchOff:Concessions:Concessions Entrance:Complete:RpiZero11:637000184189664160:637000184189664160::
SwitchOff:Tower:Tower NW:Complete:RpiZero10:637000184190587935:637000184190587935::
Motion:Concessions:Concessions Entrance:Complete:RpiZero11:637000240573566789:637000240663698486:rpiZero11:/Surveillance\Concessions-Concessions Entrance-rpiZero11-20190729190737.mp4
Motion:Tower:Tower SW:Complete:RpiZero7:637000240690323325:637000240780470103:rpiZero7:/Surveillance\Tower-Tower SW-rpiZero7-20190729190749.mp4
Motion:Concessions:Concessions Front:Complete:RpiZero5:637000240702093736:637000240793511828:rpiZero5:/Surveillance\Concessions-Concessions Front-rpiZero5-20190729190750.mp4
Motion:Tower:Tower SW:Complete:RpiZero7:637000240820484356:637000240900892464:rpiZero7:/Surveillance\Tower-Tower SW-rpiZero7-20190729190802.mp4
Motion:Concessions:Concessions Front:Complete:RpiZero5:637000240812188151:637000240902828815:rpiZero5:/Surveillance\Concessions-Concessions Front-rpiZero5-20190729190801.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000240672506089:637000240902965447:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729190747.mp4
Motion:Concessions:Concessions Entrance:Complete:RpiZero11:637000240884510504:637000240953876114:rpiZero11:/Surveillance\Concessions-Concessions Entrance-rpiZero11-20190729190808.mp4
Motion:Concessions:Concessions Entrance:Complete:RpiZero11:637000249199546420:637000249289654570:rpiZero11:/Surveillance\Concessions-Concessions Entrance-rpiZero11-20190729192159.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000249398050666:637000249508355646:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729192219.mp4
Motion:Concessions:Concessions Front:Complete:RpiZero5:637000249450011418:637000249540587514:rpiZero5:/Surveillance\Concessions-Concessions Front-rpiZero5-20190729192224.mp4
Motion:Tower:Tower SW:Complete:RpiZero7:637000249456326784:637000249546486127:rpiZero7:/Surveillance\Tower-Tower SW-rpiZero7-20190729192225.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000249518240537:637000249568265819:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729192231.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000249588241091:637000249678315832:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729192238.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000249698346729:637000249748458087:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729192249.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000249768413281:637000249818502158:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729192256.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000249828469158:637000249928614507:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729192302.mp4
Motion:Concessions:Concessions Front:Complete:RpiZero5:637000250059997124:637000250151194107:rpiZero5:/Surveillance\Concessions-Concessions Front-rpiZero5-20190729192325.mp4
Motion:Tower:Tower SW:Complete:RpiZero7:637000250066873941:637000250157043271:rpiZero7:/Surveillance\Tower-Tower SW-rpiZero7-20190729192326.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000250008671754:637000250228987283:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729192320.mp4
Motion:Tower:Tower SW:Complete:RpiZero7:637000250867372645:637000250967600643:rpiZero7:/Surveillance\Tower-Tower SW-rpiZero7-20190729192446.mp4
Motion:Concessions:Concessions Front:Complete:RpiZero5:637000250871923671:637000250971185126:rpiZero5:/Surveillance\Concessions-Concessions Front-rpiZero5-20190729192447.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000250899362998:637000251069515401:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729192449.mp4
Motion:Concessions:Concessions Front:Complete:RpiZero5:637000251212109585:637000251271873949:rpiZero5:/Surveillance\Concessions-Concessions Front-rpiZero5-20190729192521.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000251109526349:637000251359810573:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729192510.mp4
Motion:Concessions:Concessions Front:Complete:RpiZero5:637000251281311144:637000251361325046:rpiZero5:/Surveillance\Concessions-Concessions Front-rpiZero5-20190729192528.mp4
Motion:Concessions:Concessions Front:Complete:RpiZero5:637000251451556769:637000251543811357:rpiZero5:/Surveillance\Concessions-Concessions Front-rpiZero5-20190729192545.mp4
Motion:Tower:Tower SW:Complete:RpiZero7:637000251457759828:637000251548073871:rpiZero7:/Surveillance\Tower-Tower SW-rpiZero7-20190729192545.mp4
